Task Name,Start Date,End Date
Sprint 1 - Cahier des charges UI/UX Setup,2026-01-26,2026-02-09
Sprint 2 - Configuration React Native Next.js Authentification,2026-02-09,2026-02-23
Sprint 3 - Workout Planner Core Profil utilisateur,2026-02-23,2026-03-09
Sprint 4 - Workout Planner Avancé Calendrier,2026-03-09,2026-03-23
Sprint 5 - Bibliothèque Exercices Suivi Progression,2026-03-23,2026-04-06
Sprint 6 - Intégration MediaPipe IA Mesures Corporelles,2026-04-06,2026-04-20
Sprint 7 - Optimisation IA Coach Onboarding,2026-04-20,2026-05-04
Sprint 8 - Marketplace Coaches Packs Sessions,2026-05-04,2026-05-18
Sprint 9 - Vidéo Call Chat Wallet Paiements,2026-05-18,2026-06-01
Sprint 10 - Panel Admin Gestion Utilisateurs Coaches,2026-06-01,2026-06-15
Sprint 11 - Panel Admin CRUD Analytics Tests iOS Android,2026-06-15,2026-06-29
Sprint 12 - Performance Optimisation Bugs Fixes Préparation Publication,2026-06-29,2026-07-13
Sprint 13 - Publication Play Store App Store Déploiement Final,2026-07-13,2026-07-26
