Task Name,Start Date,End Date
Sprint 1.1 - Cahier des charges,2026-01-26,2026-02-02
Sprint 1.2 - UI/UX Design & Maquettes,2026-02-02,2026-02-09
Sprint 1.3 - Setup Environnement Dev,2026-02-09,2026-02-16
Sprint 2.1 - Configuration React Native & Next.js,2026-02-16,2026-02-23
Sprint 2.2 - Authentification & Profil,2026-02-23,2026-03-02
Sprint 3.1 - Workout Planner Core,2026-03-02,2026-03-16
Sprint 3.2 - Bibliothèque d'Exercices,2026-03-16,2026-03-30
Sprint 3.3 - Suivi Progression & Notifications,2026-03-30,2026-04-06
Sprint 4.1 - Intégration MediaPipe,2026-04-06,2026-04-13
Sprint 4.2 - IA Mesures Corporelles,2026-04-13,2026-04-20
Sprint 4.3 - Tests & Optimisation IA,2026-04-20,2026-04-27
Sprint 5.1 - Coach Onboarding & Marketplace,2026-04-27,2026-05-11
Sprint 5.2 - Packs Sessions & Programmes,2026-05-11,2026-05-18
Sprint 5.3 - Vidéo Call & Chat,2026-05-18,2026-05-25
Sprint 6.1 - Panel Admin - Gestion Utilisateurs,2026-05-25,2026-06-01
Sprint 6.2 - Panel Admin - CRUD & Analytics,2026-06-01,2026-06-08
Sprint 7.1 - Tests iOS/Android,2026-06-08,2026-06-15
Sprint 7.2 - Performance & Optimisation,2026-06-15,2026-06-22
Sprint 7.3 - Bugs Fixes & UX,2026-06-22,2026-06-29
Sprint 8.1 - Préparation Publication,2026-06-29,2026-07-06
Sprint 8.2 - Publication Play Store,2026-07-06,2026-07-13
Sprint 8.3 - Publication App Store,2026-07-13,2026-07-20
Sprint 8.4 - Déploiement Final & Monitoring,2026-07-20,2026-07-26
